102,49,0.878345,65,1.74276,62,1.86076,49,1.7815,22,0.00784,128,0.059779,0.006852,3.75927e-15,0.307625,7.70311e-15
104,48,0.962197,64,1.90702,61,1.98199,49,1.98238,22,0.008275,130,0.064619,0.007304,4.3869e-15,0.338248,6.65121e-15
106,49,1.04805,65,2.00892,61,2.04358,49,2.10252,22,0.008601,87,0.044418,0.007671,4.06078e-15,0.37052,6.46405e-15
108,48,1.13959,64,2.22677,62,2.25872,49,2.27682,22,0.008602,126,0.064377,0.007849,3.75156e-15,0.372288,6.44159e-15
110,50,1.21745,66,2.39113,63,2.41893,49,2.37837,22,0.009474,109,0.059803,0.008584,4.3586e-15,0.423928,7.48253e-15
112,48,1.26869,64,2.52311,62,2.59019,49,2.54204,22,0.009332,107,0.060285,0.008933,4.95759e-15,0.427718,8.32919e-15
114,50,1.404,66,2.66924,63,2.68111,49,2.76173,22,0.009706,135,0.07769,0.009378,4.87528e-15,0.456567,8.20244e-15
116,49,1.51612,65,2.91054,63,2.94169,49,2.90352,22,0.009855,121,0.07127,0.009928,4.23961e-15,0.485105,7.73985e-15
118,49,1.61591,65,3.19635,62,3.10265,49,3.23191,22,0.01057,130,0.082065,0.010513,4.62146e-15,0.552565,9.18756e-15
120,49,1.70167,65,3.41535,63,3.49215,49,3.41691,22,0.010437,116,0.0729,0.0109,3.85082e-15,0.540888,7.7327e-15
122,50,1.82275,66,3.49033,63,3.53003,49,3.60801,22,0.011208,98,0.065548,0.011622,5.12083e-15,0.625983,7.63657e-15
124,49,1.98408,65,3.98199,62,4.00127,49,4.02158,22,0.011569,155,0.105934,0.012177,5.07064e-15,0.656812,1.07263e-14
126,50,2.09463,66,4.0922,63,4.12869,49,4.08572,22,0.011685,105,0.073068,0.012609,4.05906e-15,0.667354,7.92883e-15
128,50,2.28533,66,4.46435,63,4.50386,49,4.45868,22,0.012306,124,0.090803,0.014141,6.15918e-15,0.747419,9.02705e-15
130,49,2.40358,65,4.66505,64,4.57964,49,4.77045,22,0.012665,92,0.069267,0.013954,5.954e-15,0.787543,1.30612e-14
132,50,2.69119,66,5.50859,63,5.55401,49,5.23299,22,0.013106,120,0.092984,0.014678,5.85507e-15,0.842135,8.77275e-15
134,49,2.89867,65,5.63827,63,5.45808,50,6.33557,22,0.013749,86,0.067294,0.015164,6.03871e-15,0.97608,1.17923e-14
136,50,3.40688,66,7.80527,63,24.5403,50,27.834,22,0.023414,157,0.135147,0.015827,5.24417e-15,3.48815,1.03621e-14
